Response ID,"To begin, please tell us which of these is true for your housing during the 2022-2023 academic year?",Do you have someone at CU Boulder you consider a mentor?,What is your likelihood of returning to CU Boulder in fall 2023?,How do you describe your race/ethnicity? Please select all that apply. - Selected Choice,Are you currently receiving financial aid? (Select all that apply),Entry_Type,FirstGen_Status,School_College,Please indicate your level of agreement with each of the following statements. - I belong at CU Boulder.,Please indicate your level of agreement with each of the following statements. - I fit in well at CU Boulder.,Please indicate your level of agreement with each of the following statements. - People at CU Boulder accept me.,Please indicate your level of agreement with each of the following statements. - I feel a connection with the CU Boulder community.,Please indicate your level of agreement with each of the following statements. - People on campus are generally supportive of my individual needs.,Please indicate your level of agreement with each of the following statements. - There are people on campus who are genuinely interested in me as a person.,Please indicate your level of agreement with each of the following statements. - There are people on campus who care about my future.
R_2EhQIfyHDWBtAUP,I lived in housing provided by CU for the entire year,Not sure,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin,White or European American",Not sure,F,0,College Arts & Sciences UGRD,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Agree
R_2ckqrYGjU4XlQrU,I lived in housing provided by CU for the entire year,No,Possible,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Slightly agree,Agree,Strongly agree,Slightly agree,Agree,Agree,Strongly agree
R_1rJ3QB4Nb8g6Glv,I did not live in housing provided by CU this year,No,Certain,Asian or Asian American,"Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Agree,Slightly disagree,Slightly disagree,Disagree,Slightly agree,Agree,Agree
R_eewef1geRf88kzn,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,1,College Arts & Sciences UGRD,Agree,Agree,Agree,Slightly agree,Agree,Agree,Slightly agree
R_1Ow6lNXL2UoH1kY,I lived in housing provided by CU for the entire year,Not sure,Likely,White or European American,"Yes, scholarships and/or grants",F,0,Program in Exploratory Studies,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree
R_3JKncGpJ5qXbAV1,I lived in housing provided by CU for the entire year,No,Likely,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Slightly agree,Agree,Agree,Agree
R_2zhJJU0PiDclf4K,I lived in housing provided by CU for the entire year,Yes,Certain,Prefer not to state,"Yes, scholarships and/or grants",F,1,Coll Engineering & AppSci UGRD,Slightly agree,Agree,,Slightly disagree,Slightly agree,Agree,Agree
R_3kcQsWRAezRImsV,I lived in housing provided by CU for the entire year,No,Possible,White or European American,No,F,0,Program in Exploratory Studies,Slightly agree,Agree,Agree,Agree,Disagree,Agree,Agree
R_3q86cZZ8TpFyirZ,I lived in housing provided by CU for the entire year,No,Almost certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,College Arts & Sciences UGRD,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
R_cT2egliQDqs4gSd,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
R_2s4Gz3yrT8MQNQH,I did not live in housing provided by CU this year,No,Unlikely,White or European American,"Yes, scholarships and/or grants",T,0,College Arts & Sciences UGRD,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree
R_3257LNFtiNk5uWu,I did not live in housing provided by CU this year,No,Unlikely,Asian or Asian American,No,T,0,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Agree,Slightly agree,Agree,Agree,Disagree
R_1CevwckeshBbrcZ,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Agree,Agree,Agree
R_24MJ43bx6X2TBaU,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_29oi3SoV1jMymHt,I lived in housing provided by CU for the entire year,No,Likely,White or European American,"Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,,Agree,Agree
R_b92ZJYR1jfmu8U1,I lived in housing provided by CU for the entire year,No,Almost certain,"Hispanic, Latin/a/o/x, or Spanish Origin","Yes, scholarships and/or grants",F,1,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Agree
R_3lKS5qltjf7B32V,I lived in housing provided by CU for the entire year,Yes,Certain,"Asian or Asian American,Native Hawaiian or Pacific Islander,White or European American","Yes, scholarships and/or grants",F,0,"Coll of Media,Comm&Info UGRD",Agree,Slightly agree,Agree,Agree,Slightly agree,Agree,Agree
R_31v08AdOuK0j7ff,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Coll Engineering & AppSci UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
R_32WI2DukWyQV9p3,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_2DNbLoIdmqCGJDE,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,1,College Arts & Sciences UGRD,Strongly agree,Agree,Agree,Slightly agree,Strongly agree,Agree,Agree
R_2ZHRcKm15JZE02k,I did not live in housing provided by CU this year,Yes,Certain,White or European American,"Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",T,0,College Arts & Sciences UGRD,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_1Qt2x8ui9w32doK,I lived in housing provided by CU for the entire year,Not sure,Certain,Asian or Asian American,Not sure,F,0,College Arts & Sciences UGRD,Agree,Disagree,Agree,Slightly disagree,Disagree,Disagree,Slightly agree
R_0JswvJRecl89Zgl,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Coll Engineering & AppSci UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_1Ecjnvw0dcfYbvs,I lived in housing provided by CU for the entire year,No,Certain,Native Hawaiian or Pacific Islander,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Coll Engineering & AppSci UGRD,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly agree,Agree
R_Tnmw63ro6tIlGRb,I did not live in housing provided by CU this year,Yes,Almost certain,Asian or Asian American,No,T,1,Coll Engineering & AppSci UGRD,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree
R_sMaikaTpR3UIcV3,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,Leeds School of Business UGRD,Agree,Agree,Agree,Slightly agree,Agree,Agree,Agree
R_40mZ7760fvUTQNH,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Slightly agree,Slightly agree,Agree,Agree,Strongly agree,Strongly agree
R_2alE4p4L6yUOjmx,I lived in housing provided by CU for the entire year,No,Almost certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",T,0,Coll Engineering & AppSci UGRD,Agree,Disagree,Agree,Slightly agree,Slightly agree,Agree,Slightly agree
R_3RmgjVh9hoeU6tw,I lived in housing provided by CU for the entire year,Yes,Unlikely,Asian or Asian American,"Yes, scholarships and/or grants",F,1,College Arts & Sciences UGRD,Slightly disagree,Disagree,Agree,Disagree,Slightly agree,Agree,Slightly disagree
R_2q2wuXTlKkVy6jy,I lived in housing provided by CU for the entire year,Yes,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin,White or European American","Yes, scholarships and/or grants,Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree
R_1OiBKQhMSPwcyLh,I did not live in housing provided by CU this year,Yes,Certain,White or European American,No,T,0,College Arts & Sciences UGRD,Slightly disagree,Disagree,Slightly agree,Disagree,Slightly agree,Agree,Agree
R_290TITcyIklFTL6,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Coll Engineering & AppSci UGRD,Strongly agree,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree
R_31BNHKsp7Vrbit6,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Agree,Slightly agree,Agree,Agree,Agree
R_3dKcNCj9L8iLAGw,I did not live in housing provided by CU this year,Yes,Certain,Middle Eastern or North African,"Yes, scholarships and/or grants",T,0,Coll Engineering & AppSci UGRD,Strongly agree,Slightly disagree,Agree,Slightly disagree,Slightly agree,,Slightly agree
R_vk5a4HIVVinotod,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,College of Music UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_129mKePJUMP2NSq,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,0,Pgm Environmental Design UGRD,Slightly agree,Agree,Strongly agree,Slightly agree,Agree,Agree,Strongly agree
R_28FX1W7jN4S9tZp,I did not live in housing provided by CU this year,Yes,Certain,"Native American, American Indian, or Alaska Native,Another race/ethnicity not listed above (please specify):","Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",T,1,College Arts & Sciences UGRD,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree
R_Y5ZzfWfLLvaWRep,I did not live in housing provided by CU this year,No,Almost certain,White or European American,Prefer not to state,F,0,College Arts & Sciences UGRD,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Slightly agree
R_31pya7h7HUNgWij,I lived in housing provided by CU for the entire year,No,Possible,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Disagree,Disagree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly agree,Slightly disagree
R_1DHUPWGvFSO68cm,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,Leeds School of Business UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_3sdcPeK7CQne3cL,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,1,College Arts & Sciences UGRD,Agree,Agree,Agree,Slightly agree,Slightly agree,Agree,Agree
R_1jJIYRX45hu2ulJ,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,Leeds School of Business UGRD,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Slightly agree
R_1jJqdlrUlAssHl7,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree
R_10wt9lAJ4vSpnGJ,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,Coll Engineering & AppSci UGRD,,Disagree,Slightly agree,Slightly disagree,,Agree,Agree
R_1ltnrTM5rhM0qBk,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_PMP4Ve4xTyFJ9df,I did not live in housing provided by CU this year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants",T,0,College Arts & Sciences UGRD,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Agree,Disagree
R_1NyRDTs48mexAAW,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_3ltv9nxYpk6kn4x,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,1,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_3rPu3eLGEfMIZ0E,I lived in housing provided by CU for the entire year,Yes,Possible,White or European American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_3h3anRVYYWD5Q5O,I did not live in housing provided by CU this year,No,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",T,0,College Arts & Sciences UGRD,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree
R_2YxLQJCpORhkCUm,I did not live in housing provided by CU this year,No,Possible,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",T,0,College Arts & Sciences UGRD,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree
R_33EDcMVR5nn8eMS,I did not live in housing provided by CU this year,No,Certain,Asian or Asian American,No,T,0,Leeds School of Business UGRD,Agree,Slightly agree,Agree,Agree,Agree,Agree,Agree
R_2CrepXeWuLnrnAl,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree
R_QocTJP30G6iKv6x,I did not live in housing provided by CU this year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree
R_21yn2v1JWqCTV9w,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,College Arts & Sciences UGRD,,Slightly disagree,Agree,Slightly disagree,,Slightly agree,Slightly agree
R_2WUM0BkFJOjFQA5,I did not live in housing provided by CU this year,No,Certain,White or European American,No,T,0,Coll Engineering & AppSci UGRD,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly disagree,Slightly disagree
R_3KTmTfQ0zMOgtq7,I lived in housing provided by CU for the entire year,Yes,Certain,Prefer not to state,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Agree,Strongly agree,Strongly agree,Slightly agree,Agree,Agree,Slightly agree
R_1HcOFi5a5cWAPEg,I did not live in housing provided by CU this year,No,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Coll Engineering & AppSci UGRD,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree
R_3GiG0bVhJE56pZt,I lived in housing provided by CU for the entire year,No,Almost certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,,Slightly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly disagree,Disagree
R_2EtqarNTdtARRFF,I lived in housing provided by CU for the entire year,No,Certain,Black or African American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Slightly agree,Strongly agree,Slightly agree
R_3JmBAPxRVgfvLZT,I did not live in housing provided by CU this year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,1,Coll Engineering & AppSci UGRD,Strongly agree,Agree,Strongly agree,Slightly agree,Slightly agree,Agree,Slightly disagree
R_1JRRIECccLA6nrO,I lived in housing provided by CU for the entire year,No,Certain,"Asian or Asian American,White or European American","Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Slightly disagree,Agree,Slightly agree,Slightly agree,Agree,Agree
R_2Sls6Ul9gLepoYA,I lived in housing provided by CU for the entire year,No,,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Slightly disagree,Slightly agree,Strongly agree,Agree,Slightly disagree,Strongly agree,Slightly disagree
R_Rx08ZatFXWViEoh,I lived in housing provided by CU for the entire year,Not sure,Likely,Black or African American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Slightly agree,Strongly disagree,Disagree,Disagree,Slightly disagree,Slightly agree,Agree
R_1FLYbG37ikcx3jM,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,Leeds School of Business UGRD,Strongly agree,Strongly agree,Agree,Agree,Agree,Slightly agree,Strongly agree
R_2ypgVPnBhhbsEpp,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,1,College Arts & Sciences UGRD,Strongly agree,Slightly disagree,Strongly agree,Agree,Slightly agree,Slightly agree,Slightly agree
R_1dtxwhrMjxj2pJc,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Agree,Slightly disagree,Slightly agree
R_3hlSfobXbhSAxCM,I did not live in housing provided by CU this year,No,Possible,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree
R_86uKLODxqHkXuBb,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,0,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree
R_2vkLFbwzkeW8Yd1,I lived in housing provided by CU for the entire year,Yes,Almost certain,"Black or African American,Middle Eastern or North African","Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Slightly agree,Agree,Slightly agree
R_3dHcqSdUr5uuxY2,I lived in housing provided by CU for the entire year,No,Almost certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Slightly disagree,Agree,Slightly disagree
R_2Tq4Vr3AYBmkROv,I lived in housing provided by CU for the entire year,No,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin,White or European American","Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_1Fy0br21sJ1f6pd,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Agree,Agree,Agree,Slightly agree,Slightly agree,Agree,Agree
R_1NdZaMDpB3qPQd3,I lived in housing provided by CU for the entire year,Yes,Certain,Prefer not to state,Prefer not to state,F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Slightly disagree,Agree
R_2YRJnQsyNLFk6jc,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,1,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_29gn4aoXhcJjlHX,I did not live in housing provided by CU this year,Not sure,Certain,Prefer not to state,Not sure,T,0,"Coll of Media,Comm&Info UGRD",Agree,Agree,Agree,Slightly disagree,Strongly agree,Slightly disagree,Strongly agree
R_2aRYDsdlbxljL1Q,I lived in housing provided by CU for the entire year,No,Certain,Asian or Asian American,"Yes, scholarships and/or grants",F,1,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_8qOAr3w19Cn128x,I lived in housing provided by CU for part of the year,No,Possible,White or European American,Not sure,F,0,Program in Exploratory Studies,Slightly agree,Slightly disagree,Disagree,Disagree,Disagree,Slightly agree,Disagree
R_306352fChVmIfho,I did not live in housing provided by CU this year,No,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin","Yes, scholarships and/or grants",F,1,College Arts & Sciences UGRD,,Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree
R_2VxobfLcSIzkxwF,I lived in housing provided by CU for the entire year,Yes,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin",No,F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_3qQWZFn0RbtsNl9,I did not live in housing provided by CU this year,No,Certain,White or European American,"Yes, federal loans (through Department of Education)",T,0,Coll Engineering & AppSci UGRD,,,Slightly agree,,Slightly disagree,Strongly disagree,Strongly disagree
R_1GQcsoSDgXrxXBy,I lived in housing provided by CU for the entire year,Not sure,Almost certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,School of Education UGRD,Slightly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree
R_3P4RFtpphYIN04P,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_1LGqdJ6esuZQq9N,I did not live in housing provided by CU this year,No,Certain,White or European American,"Yes, scholarships and/or grants",T,0,College Arts & Sciences UGRD,Slightly disagree,Slightly disagree,Agree,Slightly agree,Disagree,Agree,Slightly disagree
R_yDv0vfelakT0fCx,I lived in housing provided by CU for the entire year,No,Almost certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Disagree,Disagree,Agree,Disagree,Agree,Agree,Slightly agree
R_3iEakr2ZWKPHka8,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,Leeds School of Business UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_3hyDEfkUPVN9nyT,I lived in housing provided by CU for the entire year,Yes,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin,White or European American","Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,1,Leeds School of Business UGRD,Agree,Slightly agree,Agree,Agree,Slightly agree,Agree,Agree
R_phn52R2gZJjUn4t,I lived in housing provided by CU for the entire year,Yes,Unlikely,White or European American,"Yes, federal loans (through Department of Education)",F,0,"Coll of Media,Comm&Info UGRD",Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree
R_1DCNW7hycgDSyNX,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, private loans (through a bank or private lender)",F,0,Program in Exploratory Studies,Slightly agree,Slightly disagree,,Disagree,Slightly disagree,Agree,
R_2czrrbfIJGUkxmJ,I lived in housing provided by CU for the entire year,Yes,Almost certain,"Hispanic, Latin/a/o/x, or Spanish Origin","Yes, scholarships and/or grants",F,1,Pgm Environmental Design UGRD,,,,,Slightly agree,,Slightly agree
R_2aymZGwCIDn3xfC,I lived in housing provided by CU for the entire year,No,Almost certain,White or European American,No,F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Disagree,Slightly agree,Slightly agree,Slightly agree
R_Yaz4IGgw35qf0C5,I did not live in housing provided by CU this year,No,Certain,White or European American,"Yes, scholarships and/or grants",T,0,"Coll of Media,Comm&Info UGRD",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
R_1rIV2CsPNwAywxA,I did not live in housing provided by CU this year,Yes,Certain,White or European American,No,T,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_1n7ba6wZDPD5Ddb,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree
R_Q5goOCmGZIqCeNX,I did not live in housing provided by CU this year,No,Almost certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Program in Exploratory Studies,,Slightly disagree,Agree,Disagree,,Slightly disagree,Disagree
R_2SGFJ632YxlDqZh,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Agree
R_dbdnJtEwQkAq3qV,I lived in housing provided by CU for the entire year,No,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin,Middle Eastern or North African,White or European American","Yes, scholarships and/or grants,Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,Program in Exploratory Studies,Slightly agree,Agree,Agree,Agree,Agree,Agree,Agree
R_1Dqg06X3RAdFnaQ,I lived in housing provided by CU for part of the year,Not sure,Certain,Middle Eastern or North African,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_2XhyL7RJnS0DiBc,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,0,College Arts & Sciences UGRD,Strongly agree,Agree,Agree,Slightly agree,Agree,Agree,Strongly agree
R_2zI4JoSnqifzSKn,I lived in housing provided by CU for the entire year,Yes,Almost certain,White or European American,Not sure,F,0,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly agree,Agree
R_2QSQfcm0QE7DgH3,I lived in housing provided by CU for the entire year,No,Unlikely,White or European American,No,F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
R_10I5HCEM52Wdrli,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,0,Leeds School of Business UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_5pA31RSnYGX1Ynn,I did not live in housing provided by CU this year,No,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_3fWd3LdK6CMSDiD,I did not live in housing provided by CU this year,No,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin,White or European American",Not sure,F,0,Program in Exploratory Studies,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree
R_290Pd3e4I7mp2T4,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Coll Engineering & AppSci UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_3dHez2262TbyKf9,I lived in housing provided by CU for the entire year,Yes,Likely,White or European American,No,F,0,College of Music UGRD,Slightly disagree,Disagree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Agree
R_1H1OngQuo2G7wdv,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,No,F,0,College Arts & Sciences UGRD,Slightly agree,Agree,Agree,Agree,Agree,Agree,Agree
R_3iszztjxvxpgUz8,I did not live in housing provided by CU this year,Yes,Certain,White or European American,No,T,0,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Agree,Slightly disagree,Agree,Agree,Slightly agree
R_1FxCkS1Uc7VvcQq,I lived in housing provided by CU for the entire year,Yes,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin,White or European American","Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Agree,Slightly agree,Slightly agree,Agree,Agree,Strongly agree,Strongly agree
